Name,Movie Title,Year,Rank
James,The Princess and the Frog,2009,7.1
Mary,Wreck-It Ralph,2012,7.8
Thomas,Pocahontas,1995,6.7
Eric,The Little Mermaid,1989,7.6
Larry,Zootopia,2016,8.1
Frank,The Rescuers Down Under,1990,6.9
Patrick,Home on the Range,2004,5.4
Alexander,Pinocchio,1940,7.5
Anna,Frozen,2013,7.5
Anna,Frozen,2013,7.5
Roger,101 Dalmatians,1961,7.2
Roger,101 Dalmatians,1961,7.2
Carl,Meet the Robinsons,2007,6.9
Lawrence,The Princess and the Frog,2009,7.1
Billy,Bolt,2008,6.9
Joe,Dumbo,1941,7.3
Joe,Lady and the Tramp,1955,7.3
Doris,Meet the Robinsons,2007,6.9
Alice,Alice in Wonderland,1951,7.4
Marie,The AristoCats,1970,7.1
Abigail,The AristoCats,1970,7.1
Grace,Home on the Range,2004,5.4
Roy,Wreck-It Ralph,2012,7.8
