Name,Gender,BornYear,Count
Thomas,M,1923,15885
Thomas,M,1924,16556
Thomas,M,1925,16685
Thomas,M,1926,16601
Thomas,M,1927,17018
Thomas,M,1928,16580
Thomas,M,1929,16267
Thomas,M,1930,17017
Thomas,M,1931,16840
Thomas,M,1932,16829
Thomas,M,1933,16501
Thomas,M,1934,17367
Thomas,M,1935,17677
Thomas,M,1936,18340
Thomas,M,1937,19774
Thomas,M,1938,21375
Thomas,M,1939,22125
Thomas,M,1940,23985
Thomas,M,1941,26640
Thomas,M,1942,31102
Thomas,M,1943,32864
Thomas,M,1944,31597
Thomas,M,1945,31882
Thomas,M,1946,38867
Thomas,M,1947,44831
Thomas,M,1948,43786
Thomas,M,1949,45205
Thomas,M,1950,45635
Thomas,M,1951,48246
Thomas,M,1952,48618
Thomas,M,1953,46991
Thomas,M,1954,47135
Thomas,M,1955,45810
Thomas,M,1956,44805
Thomas,M,1957,44578
Thomas,M,1958,42067
Thomas,M,1959,40284
Thomas,M,1960,39293
Thomas,M,1961,37548
Thomas,M,1962,36531
Thomas,M,1963,35510
Thomas,M,1964,34467
Thomas,M,1965,31635
Thomas,M,1966,29016
Thomas,M,1967,28284
Thomas,M,1968,27456
Thomas,M,1969,27491
Thomas,M,1970,26687
Thomas,M,1971,23167
Thomas,M,1972,19575
Thomas,M,1973,17940
Thomas,M,1974,17288
Thomas,M,1975,16559
Thomas,M,1976,16121
Thomas,M,1977,16597
Thomas,M,1978,16492
Thomas,M,1979,16475
Thomas,M,1980,17565
Thomas,M,1981,17161
Thomas,M,1982,17579
Thomas,M,1983,17562
Thomas,M,1984,17588
Thomas,M,1985,17595
Thomas,M,1986,17346
Thomas,M,1987,18122
Thomas,M,1988,18795
Thomas,M,1989,18430
Thomas,M,1990,18214
Thomas,M,1991,16783
Thomas,M,1992,15282
Thomas,M,1993,14858
Thomas,M,1994,14903
Thomas,M,1995,14159
Thomas,M,1996,13799
Thomas,M,1997,12894
Thomas,M,1998,12885
Thomas,M,1999,12791
Thomas,M,2000,12638
Thomas,M,2001,12145
Thomas,M,2002,11291
Thomas,M,2003,10930
Thomas,M,2004,10496
Thomas,M,2005,10035
Thomas,M,2006,9505
Thomas,M,2007,8924
Thomas,M,2008,8353
Thomas,M,2009,7716
Thomas,M,2010,7115
Thomas,M,2011,6904
Thomas,M,2012,6830
Thomas,M,2013,6765
Thomas,M,2014,7002
Thomas,M,2015,7123
